STATE,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,FIPS,COASTAL_TYPE_SHORELINE,COASTAL_TYPE_WATERSHED,MODAL_YEAR_BUILT_BIN,MEDIAN_YEAR_BUILT,MEDIAN_INCOME,POPULATION,TEMPERATURE_F,ANOMALY_F,RONI_AVG
ILLINOIS,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,17049,inland,inland,built_1970_to_1979,1978.0,75380.0,34505.0,74.4,0.1,0.8666666666666667
ILLINOIS,Thunderstorm Wind,CLAY,0.0,0.0,5,17025,inland,inland,built_1990_to_1999,1973.0,57266.0,13173.0,74.8,-0.1,0.8666666666666667
VIRGINIA,Thunderstorm Wind,SOUTHAMPTON,1000.0,0.0,0,51175,inland,inland,built_1970_to_1979,1980.0,68465.0,17988.0,71.8,1.2,1.1333333333333333
VIRGINIA,Thunderstorm Wind,SUFFOLK (C),2000.0,0.0,0,51800,shoreline,watershed,built_2000_to_2009,1994.0,90089.0,96638.0,72.4,1.3,1.1333333333333333
ILLINOIS,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,17049,inland,inland,built_1970_to_1979,1978.0,75380.0,34505.0,74.4,0.1,0.8666666666666667
VIRGINIA,Thunderstorm Wind,ISLE OF WIGHT,1000.0,0.0,0,51093,shoreline,watershed,built_1990_to_1999,1992.0,96118.0,39444.0,72.4,1.3,1.1333333333333333
WISCONSIN,Hail,WOOD,0.0,0.0,1,55141,inland,inland,built_1970_to_1979,1973.0,66417.0,74039.0,49.5,2.6,1.3333333333333333
WISCONSIN,Hail,MARATHON,0.0,0.0,1,55073,inland,inland,built_2000_to_2009,1977.0,76185.0,138067.0,48.4,2.8,1.3333333333333333
ILLINOIS,Thunderstorm Wind,SANGAMON,0.0,0.0,5,17167,inland,inland,built_1970_to_1979,1973.0,74114.0,195217.0,73.8,-0.2,0.8666666666666667
ILLINOIS,Flash Flood,CLAY,0.0,2.883779375183316,180,17025,inland,inland,built_1990_to_1999,1973.0,57266.0,13173.0,74.8,-0.1,0.8666666666666667
ILLINOIS,Flash Flood,CHRISTIAN,0.0,0.6564521616330838,180,17021,inland,inland,built_1970_to_1979,1963.0,59253.0,33684.0,74.4,0.5,0.8666666666666667
WISCONSIN,Hail,MARATHON,0.0,0.0,1,55073,inland,inland,built_2000_to_2009,1977.0,76185.0,138067.0,48.4,2.8,1.3333333333333333
ILLINOIS,Thunderstorm Wind,COLES,0.0,0.0,5,17029,inland,inland,built_1970_to_1979,1970.0,56040.0,46689.0,73.8,0.3,0.8666666666666667
WISCONSIN,Hail,WOOD,0.0,0.0,1,55141,inland,inland,built_1970_to_1979,1973.0,66417.0,74039.0,49.5,2.6,1.3333333333333333
ILLINOIS,Hail,LAWRENCE,0.0,0.0,5,17101,inland,inland,built_1960_to_1969,1963.0,53438.0,15137.0,74.5,-0.6,0.8666666666666667
WISCONSIN,Hail,WOOD,0.0,0.0,1,55141,inland,inland,built_1970_to_1979,1973.0,66417.0,74039.0,49.5,2.6,1.3333333333333333
ILLINOIS,Thunderstorm Wind,CUMBERLAND,0.0,0.0,5,17035,inland,inland,built_1970_to_1979,1969.0,69826.0,10378.0,74.2,0.1,0.8666666666666667
ILLINOIS,Tornado,JASPER,0.0,0.0057037897922132,1,17079,inland,inland,built_2000_to_2009,1974.0,71094.0,9233.0,74.3,-0.3,0.8666666666666667
ILLINOIS,Flash Flood,EFFINGHAM,0.0,0.3288166135368509,100,17049,inland,inland,built_1970_to_1979,1978.0,75380.0,34505.0,74.4,0.1,0.8666666666666667
ILLINOIS,Hail,LAWRENCE,0.0,0.0,5,17101,inland,inland,built_1960_to_1969,1963.0,53438.0,15137.0,74.5,-0.6,0.8666666666666667
WISCONSIN,Hail,MARATHON,0.0,0.0,1,55073,inland,inland,built_2000_to_2009,1977.0,76185.0,138067.0,48.4,2.8,1.3333333333333333
NEBRASKA,Thunderstorm Wind,SEWARD,,0.0,0,31159,inland,inland,built_1970_to_1979,1970.0,81122.0,17636.0,74.3,-2.3,0.6333333333333333
NEBRASKA,Thunderstorm Wind,SAUNDERS,,0.0,0,31155,inland,inland,built_1970_to_1979,1973.0,89395.0,22761.0,74.3,-1.9,0.6333333333333333
ILLINOIS,Thunderstorm Wind,SANGAMON,0.0,0.0,5,17167,inland,inland,built_1970_to_1979,1973.0,74114.0,195217.0,73.8,-0.2,0.8666666666666667
ILLINOIS,Hail,EFFINGHAM,0.0,0.0,5,17049,inland,inland,built_1970_to_1979,1978.0,75380.0,34505.0,74.4,0.1,0.8666666666666667
ILLINOIS,Hail,EFFINGHAM,0.0,0.0,5,17049,inland,inland,built_1970_to_1979,1978.0,75380.0,34505.0,74.4,0.1,0.8666666666666667
NEW YORK,Flash Flood,PUTNAM,0.0,0.0344010969526834,30,36079,shoreline,watershed,built_1970_to_1979,1968.0,127405.0,97988.0,75.8,4.6,0.6333333333333333
NEBRASKA,Hail,SEWARD,,0.0,0,31159,inland,inland,built_1970_to_1979,1970.0,81122.0,17636.0,74.3,-2.3,0.6333333333333333
WISCONSIN,Hail,WOOD,0.0,0.0,1,55141,inland,inland,built_1970_to_1979,1973.0,66417.0,74039.0,49.5,2.6,1.3333333333333333
WISCONSIN,Hail,WOOD,0.0,0.0,1,55141,inland,inland,built_1970_to_1979,1973.0,66417.0,74039.0,49.5,2.6,1.3333333333333333
ILLINOIS,Thunderstorm Wind,CHRISTIAN,0.0,0.0,5,17021,inland,inland,built_1970_to_1979,1963.0,59253.0,33684.0,74.4,0.5,0.8666666666666667
MISSOURI,Thunderstorm Wind,ST. FRANCOIS,0.0,5.135687608137613,5,29187,inland,inland,built_1970_to_1979,1981.0,54813.0,66864.0,77.8,1.1,0.6333333333333333
NEBRASKA,Thunderstorm Wind,DOUGLAS,,0.0,0,31055,inland,inland,built_1970_to_1979,1976.0,79081.0,585461.0,74.0,-2.2,0.6333333333333333
NEBRASKA,Thunderstorm Wind,SARPY,,0.0,0,31153,inland,inland,built_2000_to_2009,1995.0,101402.0,194051.0,74.2,-2.3,0.6333333333333333
NEBRASKA,Thunderstorm Wind,SARPY,,0.0,0,31153,inland,inland,built_2000_to_2009,1995.0,101402.0,194051.0,74.2,-2.3,0.6333333333333333
NEBRASKA,Thunderstorm Wind,SARPY,,0.0,0,31153,inland,inland,built_2000_to_2009,1995.0,101402.0,194051.0,74.2,-2.3,0.6333333333333333
