FIPS,MEDIAN_INCOME
01001,69841
01003,75019
01005,44290
01007,51215
01009,61096
01011,36723
01013,44881
01015,55826
01017,49295
01019,50769
01021,61873
01023,44483
01025,49167
01027,51852
01029,53319
01031,64672
01033,56736
01035,42266
01037,57063
01039,50886
01041,49040
01043,60916
01045,53955
01047,36810
01049,51149
01051,75553
01053,44447
01055,53070
01057,50733
01059,51493
01061,50951
01063,31495
01065,41325
01067,60135
01069,57531
01071,49454
01073,64589
01075,47447
01077,59082
01079,60040
01081,61123
01083,83534
01085,35160
01087,45951
01089,83528
01091,44205
01093,50714
01095,60946
01097,58119
01099,40225
01101,58153
01103,64858
01105,34368
01107,47014
01109,47961
01111,51551
01113,50046
01115,78993
01117,93543
01119,37981
01121,56249
01123,57185
01125,63947
01127,54509
01129,60503
01131,42236
01133,48032
02013,72692
02016,107344
02020,98152
02050,70616
02060,100625
02063,88565
02066,75053
02068,88935
02070,74250
02090,84722
02100,72607
02105,62500
02110,100513
02122,77722
02130,89155
02150,83716
02158,48233
02164,64000
02170,90625
02180,76643
02185,86313
02188,81298
02195,77026
02198,59079
02220,101207
02230,78594
02240,74223
02275,64545
02282,80625
02290,52642
04001,40338
04003,58970
04005,69748
04007,59089
04009,67326
04011,75239
04012,49506
04013,85518
04015,55799
04017,52752
04019,67929
04021,77588
04023,53614
04025,66106
04027,60417
05001,60831
05003,44481
05005,48427
05007,89879
05009,54195
05011,39565
05013,63654
05015,55187
05017,39683
05019,50985
05021,48500
05023,55979
05025,50509
05027,47363
05029,51212
05031,57615
05033,60362
05035,54271
05037,47012
05039,44694
05041,36064
05043,41071
05045,65071
05047,51919
05049,38941
05051,55409
05053,72512
05055,56793
05057,47654
05059,52644
05061,44492
05063,56009
05065,47728
05067,41215
05069,48552
05071,44808
05073,37237
05075,44164
05077,36860
05079,51667
05081,52241
05083,54237
05085,71449
05087,53888
05089,46953
05091,49983
05093,53428
05095,43955
05097,49015
05099,41761
05101,47395
05103,49838
05105,60078
05107,38874
05109,51000
05111,47188
05113,49252
05115,54606
05117,51094
05119,60385
05121,52838
05123,41784
05125,76534
05127,45955
05129,41978
05131,56450
05133,51641
05135,42950
05137,38531
05139,50221
05141,47266
05143,66426
05145,53435
05147,49982
05149,58870
06001,126240
06003,110781
06005,81526
