FIPS,POPULATION
01001,59285
01003,239945
01005,24757
01007,22152
01009,59292
01011,10157
01013,18807
01015,116141
01017,34450
01019,25224
01021,45500
01023,12525
01025,22802
01027,14188
01029,15254
01031,54231
01033,57648
01035,11411
01037,10323
01039,37647
01041,13144
01043,89463
01045,49516
01047,37536
01049,71946
01051,88669
01053,36695
01055,103208
01057,16173
01059,31978
01061,26726
01063,7589
01065,14749
01067,17450
01069,107628
01071,52839
01073,669744
01075,13809
01077,95037
01079,33182
01081,177663
01083,107577
01085,10008
01087,18951
01089,397135
01091,19027
01093,29190
01095,98712
01097,413162
01099,19580
01101,227197
01103,123742
01105,8231
01107,18843
01109,32953
01111,22310
01113,58858
01115,92903
01117,226955
01119,12020
01121,81170
01123,41070
01125,234036
01127,64886
01129,15270
01131,10347
01133,23637
02013,3423
02016,5178
02020,289069
02050,18487
02060,878
02063,6964
02066,2626
02068,2029
02070,4780
02090,95555
02100,2077
02105,2313
02110,31969
02122,59843
02130,13870
02150,12878
02158,8277
02164,1007
02170,110677
02180,9925
02185,10891
02188,7611
02195,3394
02198,5730
02220,8393
02230,1308
02240,6936
02275,2106
02282,506
02290,5271
04001,65680
04003,125458
04005,144643
04007,53610
04009,38860
04011,9452
04012,16605
04013,4491987
04015,217420
04017,107744
04019,1049947
04021,449219
04023,48209
04025,241656
04027,207685
05001,16773
05003,18722
05005,42150
05007,294541
05009,37896
05011,10354
05013,4717
05015,28526
05017,9997
05019,21378
05021,14399
05023,25048
05025,7491
05027,22527
05029,20872
05031,112097
05033,60792
05035,47609
05037,16681
05039,6351
05041,11041
05043,17143
05045,126001
05047,17220
05049,12239
05051,100062
05053,18111
05055,46182
05057,19778
05059,33142
05061,12701
05063,38120
05065,13866
05067,16775
05069,65780
05071,25932
05073,6211
05075,16265
05077,8511
05079,12966
05081,11959
05083,21240
05085,74747
05087,17032
05089,17076
05091,42588
05093,39749
05095,6681
05097,8571
05099,8228
05101,7175
05103,22317
05105,10073
05107,15910
05109,10182
05111,22740
05113,19348
05115,63830
05117,8162
05119,398949
05121,18733
05123,22740
05125,125724
05127,9839
05129,7861
05131,128448
05133,15797
05135,17597
05137,12474
05139,38368
05141,15936
05143,251863
05145,77395
05147,6157
05149,20195
06001,1651949
06003,1695
06005,41029
06007,209470
06009,45995
06011,21895
06013,1161458
06015,27293
06017,192299
06019,1012152
06021,28623
06023,135418
06025,179319
06027,18803
06029,910433
06031,152830
06033,68139
06035,31177
06037,9848406
06039,158790
06041,258765
06043,17060
06045,90709
06047,285597
06049,8646
06051,13169
06053,435834
06055,136070
06057,102452
06059,3164063
06061,412435
06063,19607
06065,2449909
06067,1584047
06069,66056
06071,2187816
06073,3282782
06075,836321
06077,787416
06079,281486
06081,745100
06083,443975
06085,1903297
06087,266021
06089,181554
06091,2731
06093,43834
06095,450824
06097,485642
06099,552250
06101,98971
06103,65520
06105,15886
06107,475774
06109,54873
06111,838259
06113,217782
06115,83079
08001,524408
08003,16515
08005,655709
08007,13730
08009,3460
08011,5524
08013,328317
08014,75110
08015,19876
08017,1732
08019,9358
08021,7536
08023,3571
08025,5734
08027,5073
08029,31353
08031,713734
08033,2385
08035,368283
08037,55374
08039,27152
08041,736008
08043,49394
08045,62034
08047,5877
08049,15794
08051,17158
08053,939
08055,6946
08057,1422
08059,579715
08061,1356
08063,7015
08065,7411
08067,56088
08069,363561
08071,14392
08073,5561
08075,21067
08077,157316
08079,799
08081,13258
08083,26204
08085,43272
08087,29186
08089,18460
08091,5024
08093,17739
08095,4491
08097,17119
08099,11931
08101,168726
08103,6518
08105,11394
08107,24990
08109,6511
08111,690
08113,8026
08115,2346
08117,30857
08119,24774
08121,4839
08123,340711
08125,9921
09110,969029
09120,326296
09130,174983
09140,452303
09150,95829
09160,112848
09170,566803
09180,279025
09190,621232
10001,185043
10003,573030
10005,247799
11001,672079
12001,281751
12003,28186
12005,181368
12007,27888
12009,620533
12011,1946127
12013,13593
12015,195083
12017,158693
12019,223436
12021,387681
12023,70755
12027,34719
12029,16952
12031,1007189
12033,323275
12035,121710
12037,12418
12039,43642
12041,18494
12043,12324
12045,14772
12047,13445
12049,25508
12051,40798
12053,201512
12055,103808
12057,1489634
12059,19626
12061,163856
12063,47652
12065,14713
12067,8035
12069,398696
12071,792692
12073,295335
12075,44276
12077,7650
12079,18113
12081,416020
12083,387697
12085,160464
12086,2685296
12087,81840
12089,94653
12091,214281
12093,40249
12095,1440471
12097,406943
12099,1507453
12101,588758
12103,960565
12105,760961
12107,74235
12109,292243
12111,346237
12113,193719
12115,449011
12117,474912
12119,137536
12121,44484
12123,21422
12125,15551
12127,568229
12129,34608
12131,79846
12133,25259
13001,18426
13003,8261
13005,11129
13007,2830
13009,43669
13011,18757
13013,86982
13015,111153
13017,17138
13019,18257
13021,156543
13023,12414
13025,18171
13027,16285
13029,46681
13031,81372
13033,24427
13035,26074
13037,5528
13039,56036
13043,10972
13045,122187
13047,68356
13049,12711
13051,298143
13053,9181
13055,24975
13057,274539
13059,129267
13061,2853
13063,298771
13065,6722
13067,769152
13069,43161
13071,45907
13073,159638
13075,17363
13077,150071
13079,12183
13081,19995
13083,16196
13085,28704
13087,29118
13089,762105
13091,19909
13093,11026
13095,83915
13097,146141
13099,10683
13101,3705
13103,67265
13105,19725
13107,22961
13109,10740
13111,25605
13113,120689
13115,98985
13117,260062
13119,23840
13121,1068507
13123,31976
13125,2913
13127,84987
13129,58336
13131,26056
13133,19586
13135,966972
13137,46948
13139,208395
13141,8630
13143,30720
13145,35509
13147,26484
13149,11616
13151,245417
13153,166902
13155,9385
13157,80640
13159,15345
13161,14838
13163,15468
13165,8674
13167,9192
13169,28526
13171,19098
13173,10094
13175,49619
13177,33337
13179,66826
13181,7773
13183,17512
13185,119055
13187,33931
13189,21687
13191,11187
13193,11953
13195,30914
13197,7474
13199,20757
13201,5873
13205,21441
13207,28919
13209,8675
13211,20614
13213,40282
13215,204383
13217,115530
13219,42788
13221,15221
13223,174292
13225,28269
13227,34197
13229,19996
13231,19540
13233,43365
13235,9893
13237,22524
13239,2092
13241,17107
13243,6270
13245,206040
13247,94293
13249,4539
13251,14057
13253,9117
13255,68215
13257,26842
13259,4978
13261,29174
13263,5753
13265,1740
13267,24215
13269,7786
13271,12174
13273,8941
13275,45696
13277,41322
13279,26943
13281,12739
13283,6387
13285,69821
13287,8915
13289,7869
13291,25598
13293,27856
13295,68449
13297,100361
13299,35958
13301,5175
13303,19893
13305,30519
13307,2348
13309,7434
13311,28454
13313,103118
13315,8784
13317,9553
13319,8795
13321,20575
15001,203684
15003,1003666
15005,43
15007,73610
15009,164632
16001,508052
16003,4599
16005,88457
16007,6552
16009,9913
16011,48993
16013,24579
16015,8045
16017,49456
16019,127056
16021,12695
16023,2654
16025,1155
16027,242405
16029,7118
16031,25165
16033,776
16035,8921
16037,4411
16039,29046
16041,14715
16043,13701
16045,19854
16047,15740
16049,17120
16051,32234
16053,24788
16055,177736
16057,40315
16059,8166
16061,3649
16063,5276
16065,53578
16067,21922
16069,42477
16071,4681
16073,12284
16075,26190
16077,8018
16079,13580
16081,12101
16083,92121
16085,12136
16087,10866
17001,65166
17003,5042
17005,16627
17007,53316
17009,6320
17011,33027
17013,4406
17015,15621
17017,12826
17019,206098
17021,33684
17023,15328
17025,13173
17027,36899
17029,46689
17031,5185812
17033,18588
17035,10378
17037,100512
17039,15461
17041,19686
17043,927263
17045,16637
17047,6118
17049,34505
17051,21380
17053,13396
17055,37541
17057,33259
17059,4857
17061,11837
17063,52920
17065,7972
17067,17434
17069,3623
17071,6284
17073,48948
17075,26746
17077,52706
17079,9233
17081,36808
17083,21336
17085,21918
17087,13350
17089,516097
17091,106833
17093,135053
17095,49294
17097,711885
17099,109049
17101,15137
17103,34058
17105,35659
17107,27870
17109,27102
17111,311366
17113,170882
17115,102591
17117,44566
17119,264631
17121,37294
17123,11715
17125,12878
17127,13958
17129,12169
17131,15619
17133,34969
17135,28078
17137,32621
17139,14469
17141,51536
17143,179831
17145,20810
17147,16702
17149,14625
17151,3757
17153,5074
17155,5600
17157,30142
17159,15675
17161,142995
17163,254777
17165,23387
17167,195217
17169,6826
17171,4847
17173,20867
17175,5324
17177,44042
17179,130555
17181,16972
17183,73179
17185,11199
17187,16576
17189,13682
17191,15994
17193,13708
17195,55192
17197,698450
17199,66902
17201,283289
17203,38348
18001,35995
18003,388791
18005,82881
18007,8708
18009,12007
18011,72827
18013,15543
18015,20443
18017,37703
18019,122800
18021,26431
18023,32967
18025,10494
18027,33442
18029,50828
18031,26411
18033,43584
18035,112109
18037,43563
18039,206868
18041,23390
18043,80512
18045,16546
18047,22929
18049,20411
18051,32986
18053,66377
18055,30954
18057,357176
18059,82013
18061,39785
18063,179379
18065,48896
18067,83610
18069,36757
18071,46319
18073,33198
18075,20281
18077,33074
18079,27584
18081,163983
18083,36108
18085,80357
18087,40596
18089,498990
18091,112141
18093,45077
18095,130949
18097,971822
18099,46225
18101,9854
18103,35772
18105,139822
18107,38155
18109,72202
18111,13859
18113,47417
18115,5993
18117,19746
18119,21434
18121,16346
18123,19218
18125,12187
18127,174150
18129,25163
18131,12441
18133,37091
18135,24425
18137,29039
18139,16734
18141,272574
18143,24468
18145,45104
18147,19871
18149,23300
18151,34648
18153,20766
18155,9914
18157,187399
18159,15329
18161,7028
18163,179908
18165,15452
18167,106201
18169,30901
18171,8469
18173,64650
18175,28167
18177,66377
18179,28261
18181,24709
18183,34388
19001,7471
19003,3641
19005,14038
19007,12242
19009,5622
19011,25698
19013,130693
19015,26669
19017,25118
19019,20645
19021,20684
19023,14301
19025,9858
19027,20677
19029,13115
19031,18427
19033,42785
19035,11587
19037,11868
19039,9690
19041,16446
19043,17069
19045,46383
19047,16289
19049,104136
19051,9127
19053,7669
19055,17549
19057,38597
19059,17844
19061,98948
19063,9316
19065,19393
19067,15502
19069,9977
19071,6570
19073,8722
19075,12352
19077,10646
19079,14893
19081,10718
19083,16729
19085,14645
19087,20228
19089,9459
19091,9573
19093,6944
19095,16547
19097,19429
19099,37864
19101,15676
19103,154881
19105,20799
19107,9964
19109,14610
19111,33175
19113,229463
19115,10710
19117,8685
19119,12087
19121,16760
19123,22045
19125,33551
19127,39971
19129,14563
19131,10548
19133,8619
19135,7546
19137,10254
19139,42735
19141,14103
19143,6114
19145,15168
19147,8902
19149,25699
19151,7040
19153,497441
19155,93407
19157,18582
19159,4664
19161,9759
19163,174302
19165,11757
19167,35984
19169,98592
19171,16982
19173,5901
19175,12038
19177,7236
19179,35265
19181,53484
19183,22539
19185,6518
19187,36848
19189,10648
19191,19972
19193,105760
19195,7380
19197,12817
20001,12491
20003,7819
20005,16211
20007,4153
20009,25275
20011,14384
20013,9415
20015,67916
20017,2579
20019,3370
20021,19236
20023,2628
20025,1987
20027,8071
20029,8973
20031,8304
20033,1685
20035,34487
20037,38963
20039,2746
20041,18423
20043,7492
20045,119547
20047,2817
20049,2464
20051,28870
20053,6366
20055,38001
20057,34133
20059,25994
20061,35895
20063,2796
