TEMPERATURE_F,ANOMALY,MONTH,FIPS
52.3,6.0,1,01001
57.2,6.2,1,01003
52.3,4.5,1,01005
50.5,6.2,1,01007
48.8,7.2,1,01009
52.1,5.3,1,01011
54.2,6.7,1,01013
49.8,7.5,1,01015
49.2,5.5,1,01017
49.0,7.6,1,01019
51.4,6.7,1,01021
53.3,6.2,1,01023
53.9,6.0,1,01025
49.1,6.3,1,01027
49.4,7.9,1,01029
54.2,5.5,1,01031
47.9,8.0,1,01033
54.6,5.9,1,01035
50.4,5.9,1,01037
54.9,6.0,1,01039
53.7,6.3,1,01041
49.0,7.9,1,01043
53.9,4.8,1,01045
52.6,5.8,1,01047
47.3,7.3,1,01049
51.6,5.5,1,01051
55.2,5.5,1,01053
49.3,7.4,1,01055
49.2,6.4,1,01057
47.7,7.5,1,01059
54.6,4.9,1,01061
51.5,6.3,1,01063
51.0,5.7,1,01065
53.4,4.3,1,01067
54.8,4.6,1,01069
47.6,7.7,1,01071
49.6,6.5,1,01073
49.6,6.8,1,01075
47.4,8.0,1,01077
47.6,7.2,1,01079
50.7,5.1,1,01081
47.1,7.2,1,01083
53.3,6.1,1,01085
51.7,5.2,1,01087
47.6,7.4,1,01089
52.4,5.8,1,01091
48.4,7.1,1,01093
48.7,7.7,1,01095
57.0,6.5,1,01097
54.3,5.9,1,01099
52.5,5.4,1,01101
48.3,7.7,1,01103
51.2,5.6,1,01105
50.8,6.7,1,01107
53.4,5.7,1,01109
49.4,7.1,1,01111
51.9,4.9,1,01113
49.2,6.7,1,01115
50.3,6.6,1,01117
52.1,6.3,1,01119
49.8,6.2,1,01121
49.5,5.1,1,01123
50.1,5.9,1,01125
48.9,6.3,1,01127
54.7,6.1,1,01129
53.4,5.9,1,01131
48.0,7.1,1,01133
30.7,1.0,1,04001
42.8,-0.7,1,04003
31.4,-0.5,1,04005
39.7,-1.2,1,04007
41.4,-1.2,1,04009
37.0,-1.4,1,04011
51.7,0.5,1,04012
50.0,-0.8,1,04013
41.2,-1.1,1,04015
31.2,0.8,1,04017
49.0,-0.6,1,04019
48.8,-0.7,1,04021
44.1,-0.2,1,04023
40.0,-0.9,1,04025
53.9,1.1,1,04027
49.9,8.7,1,05001
51.4,7.8,1,05003
42.1,7.2,1,05005
41.4,6.4,1,05007
41.4,6.7,1,05009
50.5,7.7,1,05011
49.8,7.0,1,05013
41.1,6.2,1,05015
51.4,7.6,1,05017
47.8,6.2,1,05019
44.1,8.2,1,05021
45.2,7.7,1,05023
49.2,7.2,1,05025
50.2,6.4,1,05027
45.9,7.3,1,05029
45.3,8.3,1,05031
43.0,5.5,1,05033
47.7,8.3,1,05035
46.4,7.6,1,05037
48.3,6.3,1,05039
50.1,7.8,1,05041
50.5,7.8,1,05043
45.5,6.3,1,05045
43.6,6.1,1,05047
42.0,7.8,1,05049
46.7,6.6,1,05051
48.5,6.9,1,05053
44.8,8.5,1,05055
49.3,7.0,1,05057
47.7,6.5,1,05059
47.4,6.4,1,05061
44.6,7.8,1,05063
42.8,7.4,1,05065
45.2,7.8,1,05067
49.3,7.8,1,05069
43.6,6.7,1,05071
51.5,7.8,1,05073
44.1,7.9,1,05075
48.7,8.5,1,05077
50.0,8.0,1,05079
50.3,7.8,1,05081
45.1,6.6,1,05083
48.0,7.5,1,05085
41.1,6.1,1,05087
41.9,7.1,1,05089
52.2,8.4,1,05091
45.9,8.0,1,05093
49.2,8.8,1,05095
45.9,6.3,1,05097
49.1,6.6,1,05099
41.2,6.4,1,05101
49.6,6.5,1,05103
46.1,6.6,1,05105
49.8,9.0,1,05107
47.0,6.2,1,05109
45.7,7.9,1,05111
45.3,6.4,1,05113
44.3,6.9,1,05115
48.8,8.5,1,05117
47.4,7.0,1,05119
43.4,8.0,1,05121
47.8,8.2,1,05123
47.4,6.9,1,05125
45.3,6.6,1,05127
