FIPS,COASTAL_TYPE_SHORELINE,COASTAL_TYPE_WATERSHED
1003,shoreline,watershed
1025,inland,watershed
1039,inland,watershed
1053,inland,watershed
1061,inland,watershed
1097,shoreline,watershed
1099,inland,watershed
1129,inland,watershed
2013,shoreline,watershed
2016,shoreline,watershed
2020,shoreline,watershed
2050,shoreline,watershed
2060,shoreline,watershed
2070,shoreline,watershed
2100,shoreline,watershed
2105,shoreline,watershed
2110,shoreline,watershed
2122,shoreline,watershed
2130,shoreline,watershed
2150,shoreline,watershed
2164,shoreline,watershed
2170,shoreline,watershed
2180,shoreline,watershed
2185,shoreline,watershed
2188,shoreline,watershed
2195,shoreline,watershed
2198,shoreline,watershed
2220,shoreline,watershed
2230,shoreline,watershed
2261,shoreline,watershed
2270,shoreline,watershed
2275,shoreline,watershed
2282,shoreline,watershed
6001,shoreline,watershed
6013,shoreline,watershed
6015,shoreline,watershed
6023,shoreline,watershed
6037,shoreline,watershed
6041,shoreline,watershed
6045,shoreline,watershed
6053,shoreline,watershed
6055,shoreline,watershed
6059,shoreline,watershed
6065,inland,watershed
6067,inland,watershed
6069,inland,watershed
6071,inland,watershed
6073,shoreline,watershed
6075,shoreline,watershed
6077,inland,watershed
6079,shoreline,watershed
6081,shoreline,watershed
6083,shoreline,watershed
6085,shoreline,watershed
6087,shoreline,watershed
6093,inland,watershed
6095,shoreline,watershed
6097,shoreline,watershed
6101,inland,watershed
6105,inland,watershed
6111,shoreline,watershed
6113,inland,watershed
9001,shoreline,watershed
9003,inland,watershed
9005,inland,watershed
9007,shoreline,watershed
9009,shoreline,watershed
9011,shoreline,watershed
9013,inland,watershed
9015,inland,watershed
10001,shoreline,watershed
10003,shoreline,watershed
10005,shoreline,watershed
11001,shoreline,watershed
12003,inland,watershed
12005,shoreline,watershed
12009,shoreline,watershed
12011,shoreline,watershed
12013,inland,watershed
12015,shoreline,watershed
12017,shoreline,watershed
12019,shoreline,watershed
12021,shoreline,watershed
12027,inland,watershed
12029,shoreline,watershed
12031,shoreline,watershed
12033,shoreline,watershed
12035,shoreline,watershed
12037,shoreline,watershed
12039,inland,watershed
12041,inland,watershed
12043,inland,watershed
12045,shoreline,watershed
12049,inland,watershed
12051,inland,watershed
12053,shoreline,watershed
12055,inland,watershed
12057,shoreline,watershed
12059,inland,watershed
12061,shoreline,watershed
12063,inland,watershed
12065,shoreline,watershed
12067,inland,watershed
12069,inland,watershed
12071,shoreline,watershed
12073,inland,watershed
12075,shoreline,watershed
12077,shoreline,watershed
12079,inland,watershed
12081,shoreline,watershed
12083,inland,watershed
12085,shoreline,watershed
12086,shoreline,watershed
12087,shoreline,watershed
12089,shoreline,watershed
12091,shoreline,watershed
12093,inland,watershed
12095,inland,watershed
12097,inland,watershed
12099,shoreline,watershed
12101,shoreline,watershed
12103,shoreline,watershed
12105,inland,watershed
12107,shoreline,watershed
12109,shoreline,watershed
12111,shoreline,watershed
12113,shoreline,watershed
12115,shoreline,watershed
12117,inland,watershed
12119,inland,watershed
12121,inland,watershed
12123,shoreline,watershed
12127,shoreline,watershed
12129,shoreline,watershed
12131,shoreline,watershed
12133,inland,watershed
13001,inland,watershed
13003,inland,watershed
13005,inland,watershed
13025,shoreline,watershed
13029,shoreline,watershed
13031,inland,watershed
13039,shoreline,watershed
13049,shoreline,watershed
13051,shoreline,watershed
13069,inland,watershed
13087,inland,watershed
13103,inland,watershed
13127,shoreline,watershed
13131,inland,watershed
13155,inland,watershed
13161,inland,watershed
13165,inland,watershed
13179,shoreline,watershed
13183,inland,watershed
13191,shoreline,watershed
13209,inland,watershed
13229,inland,watershed
13251,inland,watershed
13267,inland,watershed
13275,inland,watershed
13279,inland,watershed
13299,inland,watershed
13305,shoreline,watershed
15001,shoreline,watershed
15003,shoreline,watershed
15005,shoreline,watershed
15007,shoreline,watershed
15009,shoreline,watershed
17031,shoreline,watershed
17097,shoreline,watershed
18039,inland,watershed
18085,inland,watershed
18087,inland,watershed
18089,shoreline,watershed
18091,shoreline,watershed
18113,inland,watershed
18127,shoreline,watershed
18141,inland,watershed
18151,inland,watershed
22001,inland,watershed
22003,inland,watershed
22005,shoreline,watershed
22007,shoreline,watershed
22009,inland,watershed
22011,inland,watershed
22019,shoreline,watershed
22023,shoreline,watershed
22033,inland,watershed
22037,inland,watershed
22039,inland,watershed
22045,shoreline,watershed
22047,inland,watershed
22051,shoreline,watershed
22053,shoreline,watershed
22055,inland,watershed
22057,shoreline,watershed
22063,shoreline,watershed
22071,shoreline,watershed
22075,shoreline,watershed
22077,inland,watershed
22079,inland,watershed
22085,inland,watershed
22087,shoreline,watershed
22089,shoreline,watershed
22091,inland,watershed
22093,shoreline,watershed
22095,shoreline,watershed
22097,inland,watershed
22099,shoreline,watershed
22101,shoreline,watershed
22103,shoreline,watershed
22105,shoreline,watershed
22109,shoreline,watershed
22113,shoreline,watershed
22115,inland,watershed
22117,inland,watershed
22121,inland,watershed
22125,inland,watershed
23001,inland,watershed
23005,shoreline,watershed
23007,inland,watershed
23009,shoreline,watershed
23011,inland,watershed
23013,shoreline,watershed
23015,shoreline,watershed
23017,inland,watershed
23019,inland,watershed
23023,shoreline,watershed
23025,inland,watershed
23027,shoreline,watershed
23029,shoreline,watershed
23031,shoreline,watershed
24003,shoreline,watershed
