FIPS,MEDIAN_INCOME
01001,69841
01001,75019
01001,44290
01001,51215
01001,61096
01001,36723
01001,44881
01001,55826
01001,49295
01001,50769
01001,61873
01001,44483
01001,49167
01001,51852
01001,53319
01001,64672
01001,56736
01001,42266
01001,57063
01001,50886
01001,49040
01001,60916
01001,53955
01001,36810
01001,51149
01001,75553
01001,44447
01001,53070
01001,50733
01001,51493
01001,50951
01001,31495
01001,41325
01001,60135
01001,57531
01001,49454
01001,64589
01001,47447
01001,59082
01001,60040
01001,61123
01001,83534
01001,35160
01001,45951
01001,83528
01001,44205
01001,50714
01001,60946
01001,58119
01001,40225
01001,58153
01001,64858
01001,34368
01001,47014
01001,47961
01001,51551
01001,50046
01001,78993
01001,93543
01001,37981
01001,56249
01001,57185
01001,63947
01001,54509
01001,60503
01001,42236
01001,48032
01001,72692
01001,107344
01001,98152
01001,70616
01001,100625
01001,88565
01001,75053
01001,88935
01001,74250
01001,84722
01001,72607
01001,62500
01001,100513
01001,77722
01001,89155
01001,83716
01001,48233
01001,64000
01001,90625
01001,76643
01001,86313
01001,81298
01001,77026
01001,59079
01001,101207
01001,78594
01001,74223
01001,64545
01001,80625
01001,52642
01001,40338
01001,58970
01001,69748
01001,59089
01001,67326
01001,75239
01001,49506
01001,85518
01001,55799
01001,52752
01001,67929
01001,77588
01001,53614
01001,66106
01001,60417
01001,60831
01001,44481
01001,48427
01001,89879
01001,54195
01001,39565
01001,63654
01001,55187
01001,39683
01001,50985
01001,48500
01001,55979
01001,50509
01001,47363
01001,51212
01001,57615
01001,60362
01001,54271
01001,47012
01001,44694
01001,36064
01001,41071
01001,65071
01001,51919
01001,38941
01001,55409
01001,72512
01001,56793
01001,47654
01001,52644
01001,44492
01001,56009
01001,47728
01001,41215
01001,48552
01001,44808
01001,37237
01001,44164
01001,36860
01001,51667
01001,52241
01001,54237
01001,71449
01001,53888
01001,46953
01001,49983
01001,53428
01001,43955
01001,49015
01001,41761
01001,47395
01001,49838
01001,60078
01001,38874
01001,51000
01001,47188
01001,49252
01001,54606
01001,51094
01001,60385
01001,52838
01001,41784
01001,76534
01001,45955
01001,41978
01001,56450
01001,51641
01001,42950
01001,38531
01001,50221
01001,47266
01001,66426
01001,53435
01001,49982
01001,58870
01001,126240
01001,110781
01001,81526
01001,68574
01001,79877
01001,75149
01001,125727
01001,66780
01001,106190
01001,71434
01001,70487
01001,61135
01001,56393
01001,72432
01001,67660
01001,68750
01001,58738
01001,64395
01001,87760
01001,75496
01001,142785
01001,65378
01001,64688
01001,65044
01001,56648
01001,86953
01001,94486
01001,108970
01001,84905
01001,113702
01001,114678
01001,64946
01001,89672
01001,88724
01001,108289
01001,82184
01001,102285
01001,141446
01001,88531
01001,93398
01001,156000
01001,95977
01001,159674
01001,109266
01001,71931
01001,60000
01001,55499
01001,99994
01001,102840
01001,79661
01001,75450
01001,61834
01001,53498
01001,69489
01001,72259
01001,107327
01001,88818
01001,73313
01001,91387
01001,51445
01001,97215
01001,76524
01001,40380
01001,49194
01001,102772
01001,121025
01001,70909
01001,67768
01001,96667
01001,47209
01001,36519
01001,47563
01001,72700
01001,58330
01001,91681
01001,70490
01001,145737
01001,103174
01001,129477
01001,87470
01001,61027
01001,86172
01001,88654
01001,84558
01001,77358
01001,64327
01001,52139
01001,41809
01001,107800
01001,56389
01001,59810
01001,93655
01001,85296
01001,91364
01001,50408
01001,54257
01001,55074
01001,71485
01001,52455
01001,70975
01001,63005
01001,66072
01001,75407
01001,54897
01001,84556
01001,95450
01001,60372
01001,100318
01001,57601
01001,62250
01001,72620
01001,62166
01001,104803
01001,54283
01001,73889
01001,80117
01001,52833
01001,106255
01001,80666
