FIPS,POPULATION
01001,59285
01001,239945
01001,24757
01001,22152
01001,59292
01001,10157
01001,18807
01001,116141
01001,34450
01001,25224
01001,45500
01001,12525
01001,22802
01001,14188
01001,15254
01001,54231
01001,57648
01001,11411
01001,10323
01001,37647
01001,13144
01001,89463
01001,49516
01001,37536
01001,71946
01001,88669
01001,36695
01001,103208
01001,16173
01001,31978
01001,26726
01001,7589
01001,14749
01001,17450
01001,107628
01001,52839
01001,669744
01001,13809
01001,95037
01001,33182
01001,177663
01001,107577
01001,10008
01001,18951
01001,397135
01001,19027
01001,29190
01001,98712
01001,413162
01001,19580
01001,227197
01001,123742
01001,8231
01001,18843
01001,32953
01001,22310
01001,58858
01001,92903
01001,226955
01001,12020
01001,81170
01001,41070
01001,234036
01001,64886
01001,15270
01001,10347
01001,23637
01001,3423
01001,5178
01001,289069
01001,18487
01001,878
01001,6964
01001,2626
01001,2029
01001,4780
01001,95555
01001,2077
01001,2313
01001,31969
01001,59843
01001,13870
01001,12878
01001,8277
01001,1007
01001,110677
01001,9925
01001,10891
01001,7611
01001,3394
01001,5730
01001,8393
01001,1308
01001,6936
01001,2106
01001,506
01001,5271
01001,65680
01001,125458
01001,144643
01001,53610
01001,38860
01001,9452
01001,16605
01001,4491987
01001,217420
01001,107744
01001,1049947
01001,449219
01001,48209
01001,241656
01001,207685
01001,16773
01001,18722
01001,42150
01001,294541
01001,37896
01001,10354
01001,4717
01001,28526
01001,9997
01001,21378
01001,14399
01001,25048
01001,7491
01001,22527
01001,20872
01001,112097
01001,60792
01001,47609
01001,16681
01001,6351
01001,11041
01001,17143
01001,126001
01001,17220
01001,12239
01001,100062
01001,18111
01001,46182
01001,19778
01001,33142
01001,12701
01001,38120
01001,13866
01001,16775
01001,65780
01001,25932
01001,6211
01001,16265
01001,8511
01001,12966
01001,11959
01001,21240
01001,74747
01001,17032
01001,17076
01001,42588
01001,39749
01001,6681
01001,8571
01001,8228
01001,7175
01001,22317
01001,10073
01001,15910
01001,10182
01001,22740
01001,19348
01001,63830
01001,8162
01001,398949
01001,18733
01001,22740
01001,125724
01001,9839
01001,7861
01001,128448
01001,15797
01001,17597
01001,12474
01001,38368
01001,15936
01001,251863
01001,77395
01001,6157
01001,20195
01001,1651949
01001,1695
01001,41029
01001,209470
01001,45995
01001,21895
01001,1161458
01001,27293
01001,192299
01001,1012152
01001,28623
01001,135418
01001,179319
01001,18803
01001,910433
01001,152830
01001,68139
01001,31177
01001,9848406
01001,158790
01001,258765
01001,17060
01001,90709
01001,285597
01001,8646
01001,13169
01001,435834
01001,136070
01001,102452
01001,3164063
01001,412435
01001,19607
01001,2449909
01001,1584047
01001,66056
01001,2187816
01001,3282782
01001,836321
01001,787416
01001,281486
01001,745100
01001,443975
01001,1903297
01001,266021
01001,181554
01001,2731
01001,43834
01001,450824
01001,485642
01001,552250
01001,98971
01001,65520
01001,15886
01001,475774
01001,54873
01001,838259
01001,217782
01001,83079
01001,524408
01001,16515
01001,655709
01001,13730
01001,3460
01001,5524
01001,328317
01001,75110
01001,19876
01001,1732
01001,9358
01001,7536
01001,3571
01001,5734
01001,5073
01001,31353
01001,713734
01001,2385
01001,368283
01001,55374
01001,27152
01001,736008
01001,49394
01001,62034
01001,5877
01001,15794
01001,17158
01001,939
01001,6946
01001,1422
01001,579715
01001,1356
01001,7015
01001,7411
01001,56088
01001,363561
01001,14392
01001,5561
01001,21067
01001,157316
01001,799
01001,13258
01001,26204
01001,43272
01001,29186
01001,18460
01001,5024
01001,17739
