STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
ILLINOIS,AUGUST,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,8
ILLINOIS,AUGUST,Thunderstorm Wind,CLAY,0.0,0.0,5,8
VIRGINIA,SEPTEMBER,Thunderstorm Wind,SOUTHAMPTON,1000.0,0.0,0,9
VIRGINIA,SEPTEMBER,Thunderstorm Wind,SUFFOLK (C),2000.0,0.0,0,9
ILLINOIS,AUGUST,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,8
VIRGINIA,SEPTEMBER,Thunderstorm Wind,ISLE OF WIGHT,1000.0,0.0,0,9
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10
ILLINOIS,AUGUST,Thunderstorm Wind,SANGAMON,0.0,0.0,5,8
ILLINOIS,AUGUST,Flash Flood,CLAY,0.0,2.883779375183316,180,8
ILLINOIS,AUGUST,Flash Flood,CHRISTIAN,0.0,0.6564521616330838,180,8
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10
ILLINOIS,AUGUST,Thunderstorm Wind,COLES,0.0,0.0,5,8
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10
ILLINOIS,AUGUST,Hail,LAWRENCE,0.0,0.0,5,8
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10
ILLINOIS,AUGUST,Thunderstorm Wind,CUMBERLAND,0.0,0.0,5,8
ILLINOIS,AUGUST,Tornado,JASPER,0.0,0.005703789792213227,1,8
ILLINOIS,AUGUST,Flash Flood,EFFINGHAM,0.0,0.32881661353685093,100,8
ILLINOIS,AUGUST,Hail,LAWRENCE,0.0,0.0,5,8
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10
NEBRASKA,JULY,Thunderstorm Wind,SEWARD,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,SAUNDERS,,0.0,0,7
ILLINOIS,AUGUST,Thunderstorm Wind,SANGAMON,0.0,0.0,5,8
ILLINOIS,AUGUST,Hail,EFFINGHAM,0.0,0.0,5,8
ILLINOIS,AUGUST,Hail,EFFINGHAM,0.0,0.0,5,8
