TEMPERATURE_F,ANOMALY_F,MONTH,STATE_ABBR,FIPS
52.3,6.0,1,AL,01001
57.2,6.2,1,AL,01001
52.3,4.5,1,AL,01001
50.5,6.2,1,AL,01001
48.8,7.2,1,AL,01001
52.1,5.3,1,AL,01001
54.2,6.7,1,AL,01001
49.8,7.5,1,AL,01001
49.2,5.5,1,AL,01001
49.0,7.6,1,AL,01001
51.4,6.7,1,AL,01001
53.3,6.2,1,AL,01001
53.9,6.0,1,AL,01001
49.1,6.3,1,AL,01001
49.4,7.9,1,AL,01001
54.2,5.5,1,AL,01001
47.9,8.0,1,AL,01001
54.6,5.9,1,AL,01001
50.4,5.9,1,AL,01001
54.9,6.0,1,AL,01001
53.7,6.3,1,AL,01001
49.0,7.9,1,AL,01001
53.9,4.8,1,AL,01001
52.6,5.8,1,AL,01001
47.3,7.3,1,AL,01001
51.6,5.5,1,AL,01001
55.2,5.5,1,AL,01001
49.3,7.4,1,AL,01001
49.2,6.4,1,AL,01001
47.7,7.5,1,AL,01001
54.6,4.9,1,AL,01001
51.5,6.3,1,AL,01001
51.0,5.7,1,AL,01001
53.4,4.3,1,AL,01001
54.8,4.6,1,AL,01001
47.6,7.7,1,AL,01001
49.6,6.5,1,AL,01001
49.6,6.8,1,AL,01001
47.4,8.0,1,AL,01001
47.6,7.2,1,AL,01001
50.7,5.1,1,AL,01001
47.1,7.2,1,AL,01001
53.3,6.1,1,AL,01001
51.7,5.2,1,AL,01001
47.6,7.4,1,AL,01001
52.4,5.8,1,AL,01001
48.4,7.1,1,AL,01001
48.7,7.7,1,AL,01001
57.0,6.5,1,AL,01001
54.3,5.9,1,AL,01001
52.5,5.4,1,AL,01001
48.3,7.7,1,AL,01001
51.2,5.6,1,AL,01001
50.8,6.7,1,AL,01001
53.4,5.7,1,AL,01001
49.4,7.1,1,AL,01001
51.9,4.9,1,AL,01001
49.2,6.7,1,AL,01001
50.3,6.6,1,AL,01001
52.1,6.3,1,AL,01001
49.8,6.2,1,AL,01001
49.5,5.1,1,AL,01001
50.1,5.9,1,AL,01001
48.9,6.3,1,AL,01001
54.7,6.1,1,AL,01001
53.4,5.9,1,AL,01001
48.0,7.1,1,AL,01001
30.7,1.0,1,AZ,01001
42.8,-0.7,1,AZ,01001
31.4,-0.5,1,AZ,01001
39.7,-1.2,1,AZ,01001
41.4,-1.2,1,AZ,01001
37.0,-1.4,1,AZ,01001
51.7,0.5,1,AZ,01001
50.0,-0.8,1,AZ,01001
41.2,-1.1,1,AZ,01001
31.2,0.8,1,AZ,01001
49.0,-0.6,1,AZ,01001
48.8,-0.7,1,AZ,01001
44.1,-0.2,1,AZ,01001
40.0,-0.9,1,AZ,01001
53.9,1.1,1,AZ,01001
49.9,8.7,1,AR,01001
51.4,7.8,1,AR,01001
42.1,7.2,1,AR,01001
41.4,6.4,1,AR,01001
41.4,6.7,1,AR,01001
50.5,7.7,1,AR,01001
49.8,7.0,1,AR,01001
41.1,6.2,1,AR,01001
51.4,7.6,1,AR,01001
47.8,6.2,1,AR,01001
44.1,8.2,1,AR,01001
45.2,7.7,1,AR,01001
49.2,7.2,1,AR,01001
50.2,6.4,1,AR,01001
45.9,7.3,1,AR,01001
45.3,8.3,1,AR,01001
43.0,5.5,1,AR,01001
47.7,8.3,1,AR,01001
46.4,7.6,1,AR,01001
48.3,6.3,1,AR,01001
50.1,7.8,1,AR,01001
50.5,7.8,1,AR,01001
45.5,6.3,1,AR,01001
43.6,6.1,1,AR,01001
42.0,7.8,1,AR,01001
46.7,6.6,1,AR,01001
48.5,6.9,1,AR,01001
44.8,8.5,1,AR,01001
49.3,7.0,1,AR,01001
47.7,6.5,1,AR,01001
47.4,6.4,1,AR,01001
44.6,7.8,1,AR,01001
42.8,7.4,1,AR,01001
45.2,7.8,1,AR,01001
49.3,7.8,1,AR,01001
43.6,6.7,1,AR,01001
51.5,7.8,1,AR,01001
44.1,7.9,1,AR,01001
48.7,8.5,1,AR,01001
50.0,8.0,1,AR,01001
50.3,7.8,1,AR,01001
45.1,6.6,1,AR,01001
48.0,7.5,1,AR,01001
41.1,6.1,1,AR,01001
41.9,7.1,1,AR,01001
52.2,8.4,1,AR,01001
45.9,8.0,1,AR,01001
49.2,8.8,1,AR,01001
45.9,6.3,1,AR,01001
49.1,6.6,1,AR,01001
41.2,6.4,1,AR,01001
49.6,6.5,1,AR,01001
46.1,6.6,1,AR,01001
49.8,9.0,1,AR,01001
47.0,6.2,1,AR,01001
45.7,7.9,1,AR,01001
45.3,6.4,1,AR,01001
44.3,6.9,1,AR,01001
48.8,8.5,1,AR,01001
47.4,7.0,1,AR,01001
43.4,8.0,1,AR,01001
47.8,8.2,1,AR,01001
47.4,6.9,1,AR,01001
45.3,6.6,1,AR,01001
42.0,6.7,1,AR,01001
45.1,6.4,1,AR,01001
48.2,6.9,1,AR,01001
42.6,7.5,1,AR,01001
43.4,7.4,1,AR,01001
50.6,6.9,1,AR,01001
43.8,7.0,1,AR,01001
41.5,5.9,1,AR,01001
46.4,7.6,1,AR,01001
47.0,8.0,1,AR,01001
45.6,6.4,1,AR,01001
48.8,2.4,1,CA,01001
27.4,-2.0,1,CA,01001
42.1,-1.0,1,CA,01001
45.3,2.1,1,CA,01001
42.3,-1.0,1,CA,01001
45.9,1.5,1,CA,01001
47.7,1.8,1,CA,01001
41.0,1.7,1,CA,01001
38.3,-1.3,1,CA,01001
39.5,0.3,1,CA,01001
46.1,2.7,1,CA,01001
43.6,1.8,1,CA,01001
55.6,1.4,1,CA,01001
39.9,-1.3,1,CA,01001
44.3,0.0,1,CA,01001
48.6,3.3,1,CA,01001
43.5,0.6,1,CA,01001
28.3,-0.8,1,CA,01001
47.4,-0.4,1,CA,01001
40.5,0.7,1,CA,01001
50.5,3.4,1,CA,01001
38.9,-0.9,1,CA,01001
45.3,1.4,1,CA,01001
48.1,2.8,1,CA,01001
28.9,0.2,1,CA,01001
24.2,-3.0,1,CA,01001
47.7,0.8,1,CA,01001
47.8,2.7,1,CA,01001
36.0,-1.6,1,CA,01001
53.9,-0.1,1,CA,01001
37.7,-1.0,1,CA,01001
30.6,-0.8,1,CA,01001
50.8,0.4,1,CA,01001
48.6,2.8,1,CA,01001
45.2,0.3,1,CA,01001
46.0,-0.6,1,CA,01001
49.4,-0.1,1,CA,01001
51.0,2.8,1,CA,01001
49.5,4.0,1,CA,01001
47.5,0.6,1,CA,01001
50.1,2.1,1,CA,01001
48.2,0.2,1,CA,01001
46.4,0.7,1,CA,01001
49.2,1.6,1,CA,01001
39.4,0.6,1,CA,01001
30.2,-1.5,1,CA,01001
33.9,1.0,1,CA,01001
49.0,3.2,1,CA,01001
48.8,2.4,1,CA,01001
48.0,2.9,1,CA,01001
48.4,2.8,1,CA,01001
43.6,1.2,1,CA,01001
38.9,1.6,1,CA,01001
37.9,-0.2,1,CA,01001
33.6,-2.1,1,CA,01001
46.0,-0.0,1,CA,01001
48.1,2.5,1,CA,01001
45.4,0.9,1,CA,01001
23.9,-2.7,1,CO,01001
22.1,3.7,1,CO,01001
24.0,-3.1,1,CO,01001
21.5,-0.3,1,CO,01001
32.2,0.9,1,CO,01001
30.4,1.0,1,CO,01001
24.5,-0.9,1,CO,01001
28.2,-1.4,1,CO,01001
17.8,-1.2,1,CO,01001
27.4,-0.1,1,CO,01001
18.6,-0.7,1,CO,01001
19.8,1.3,1,CO,01001
20.5,-0.4,1,CO,01001
29.5,1.3,1,CO,01001
23.0,0.2,1,CO,01001
24.8,1.9,1,CO,01001
27.3,-2.0,1,CO,01001
21.9,-1.2,1,CO,01001
26.5,-1.6,1,CO,01001
19.0,0.3,1,CO,01001
23.7,-2.6,1,CO,01001
28.0,0.1,1,CO,01001
25.6,-0.8,1,CO,01001
23.1,1.4,1,CO,01001
20.8,-0.7,1,CO,01001
16.8,0.4,1,CO,01001
16.4,-0.1,1,CO,01001
14.6,-2.3,1,CO,01001
27.8,-0.1,1,CO,01001
16.0,-0.2,1,CO,01001
26.2,-1.8,1,CO,01001
28.8,0.7,1,CO,01001
25.7,-1.6,1,CO,01001
14.7,-1.0,1,CO,01001
22.5,-1.1,1,CO,01001
22.2,-0.3,1,CO,01001
30.1,-0.8,1,CO,01001
25.4,-1.6,1,CO,01001
23.8,-2.1,1,CO,01001
27.3,4.1,1,CO,01001
16.0,-0.6,1,CO,01001
20.6,0.8,1,CO,01001
27.0,0.7,1,CO,01001
26.6,2.7,1,CO,01001
23.8,-0.5,1,CO,01001
31.0,0.7,1,CO,01001
22.4,1.6,1,CO,01001
18.6,-0.9,1,CO,01001
23.6,-1.8,1,CO,01001
17.5,-0.7,1,CO,01001
30.3,0.8,1,CO,01001
31.2,0.3,1,CO,01001
21.2,0.2,1,CO,01001
18.7,1.7,1,CO,01001
18.5,0.5,1,CO,01001
17.8,0.2,1,CO,01001
15.4,-2.7,1,CO,01001
24.1,0.5,1,CO,01001
23.4,-2.0,1,CO,01001
16.1,-0.0,1,CO,01001
21.1,-0.9,1,CO,01001
22.6,-3.2,1,CO,01001
24.6,-0.8,1,CO,01001
24.8,-1.7,1,CO,01001
39.0,12.2,1,CT,01001
36.6,11.6,1,CT,01001
34.7,12.0,1,CT,01001
38.1,11.3,1,CT,01001
37.6,11.0,1,CT,01001
39.0,12.0,1,CT,01001
36.2,11.7,1,CT,01001
36.9,11.9,1,CT,01001
42.8,9.9,1,DE,01001
41.7,10.3,1,DE,01001
44.0,9.5,1,DE,01001
58.5,3.3,1,FL,01001
56.6,3.6,1,FL,01001
58.6,6.3,1,FL,01001
58.0,3.5,1,FL,01001
64.0,3.1,1,FL,01001
69.6,4.3,1,FL,01001
57.3,6.0,1,FL,01001
65.6,3.2,1,FL,01001
59.7,2.6,1,FL,01001
59.2,4.5,1,FL,01001
68.3,3.7,1,FL,01001
56.1,2.9,1,FL,01001
63.9,2.4,1,FL,01001
57.6,3.8,1,FL,01001
58.8,4.9,1,FL,01001
