"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US01003","Baldwin County, Alabama","135673","58","9585","1742","24281","2819","34331","3157","25981","3399","16990","2556","12296","2637","5731","1620","2987","967","1626","912","1865","1065",
"0500000US01015","Calhoun County, Alabama","53543","126","919","477","3380","1100","6695","1399","7703","1277","7288","1454","6970","1317","7127","1417","5468","1122","3109","826","4884","1319",
"0500000US01043","Cullman County, Alabama","40322","34","2121","773","4871","1116","5101","1096","8066","1543","5340","1137","5824","1372","4042","1027","1899","702","1510","968","1548","557",
"0500000US01049","DeKalb County, Alabama","31166","26","385","224","2516","827","4011","1029","4462","1019","4166","1120","6458","1174","2380","771","3525","1014","1161","522","2102","789",
"0500000US01051","Elmore County, Alabama","37557","37","2257","977","4882","929","7805","1235","6856","1227","3899","1029","5870","1248","2014","706","1660","511","545","342","1769","795",
"0500000US01055","Etowah County, Alabama","47786","48","599","390","4656","1132","4596","1042","5492","1319","4538","1132","7046","1123","6337","1405","6396","1236","4674","1088","3452","982",
"0500000US01069","Houston County, Alabama","50624","124","1532","635","4974","959","7587","940","8107","995","6582","910","9149","889","5581","779","4089","617","1383","391","1640","475",
"0500000US01073","Jefferson County, Alabama","312529","215","5321","1295","25651","3204","38630","3010","30835","2692","32014","3470","49232","3681","41542","3384","40098","2643","17660","2135","31546","2919",
"0500000US01077","Lauderdale County, Alabama","45116","119","687","398","4994","1314","3340","965","7045","1259","5498","1431","8189","1554","4852","933","4915","993","2977","1048","2619","885",
"0500000US01081","Lee County, Alabama","81890","86","4300","1070","15786","2423","18314","2060","12326","1651","10338","1850","8941","1906","5792","1366","2917","1033","913","385","2263","824",
"0500000US01083","Limestone County, Alabama","45268","87","4215","1073","10410","1849","7971","1353","5950","1100","4891","1179","4691","1239","3426","1116","1882","806","615","407","1217","626",
"0500000US01089","Madison County, Alabama","182177","463","15819","2595","28995","3519","30558","2447","27688","2951","23870","2453","16049","2302","22809","2162","10100","1559","1907","600","4382","1299",
"0500000US01095","Marshall County, Alabama","41997","68","481","235","5517","1122","5969","1094","6949","1160","6246","1198","5712","1071","4723","1042","2800","682","2080","768","1520","549",
"0500000US01097","Mobile County, Alabama","186757","91","1723","752","17332","2329","25839","2436","22189","2488","25482","2344","35342","3109","17963","2069","20361","2132","11065","1712","9461","1500",
"0500000US01101","Montgomery County, Alabama","106531","107","2235","909","6036","1267","11110","1991","17885","2376","13691","2040","22213","2577","12428","1897","10207","1532","3243","1183","7483","1286",
"0500000US01103","Morgan County, Alabama","54128","47","1082","673","4171","1365","8119","1345","8586","1322","9653","1568","8676","1520","5405","1325","3766","1196","2251","835","2419","916",
"0500000US01115","St. Clair County, Alabama","39932","39","1871","660","6366","1399","11305","1585","6702","1197","4250","1079","4703","1185","2373","800","1279","585","383","347","700","369",
"0500000US01117","Shelby County, Alabama","93211","91","3814","944","15004","1895","23492","2362","21823","2242","14593","1851","8413","1464","2951","781","1111","483","776","436","1234","630",
"0500000US01121","Talladega County, Alabama","38801","99","880","517","2265","1036","5377","1338","6969","1455","6124","1391","7655","1490","2839","854","3737","1128","1088","560","1867","778",
"0500000US01125","Tuscaloosa County, Alabama","105659","732","2989","1000","15731","2317","23851","3008","14076","2103","13430","2275","14816","1930","8895","1883","6071","1199","3251","990","2549","979",
"0500000US02020","Anchorage Municipality, Alaska","120956","2321","909","566","11283","1779","14312","2189","13854","2266","28644","3383","33753","3005","10311","1601","6246","1371","528","348","1116","706",
"0500000US02090","Fairbanks North Star Borough, Alaska","42692","1682","382","351","4617","1366","6322","1716","5531","1484","9749","1788","8258","1577","3683","1117","3271","1066","585","366","294","364",
"0500000US02170","Matanuska-Susitna Borough, Alaska","51218","43","1318","478","9709","969","13759","1073","6208","871","11376","1088","6135","866","1492","386","698","248","353","179","170","108",
"0500000US04001","Apache County, Arizona","29186","61","100","104","2875","639","3625","817","5906","1005","7298","1312","5423","968","2542","791","815","380","345","145","257","202",
"0500000US04003","Cochise County, Arizona","60172","260","771","407","5324","1197","10109","1474","8371","1504","10570","1717","11813","1633","4502","1293","3872","1103","921","439","3919","988",
"0500000US04005","Coconino County, Arizona","71047","202","1341","615","9690","1527","13714","1846","11726","1729","14613","2145","10327","1357","4054","958","3120","901","1253","784","1209","484",
"0500000US04013","Maricopa County, Arizona","1913863","926","84503","6305","239430","9189","426201","11351","321374","8940","307719","9516","283683","8803","115878","6011","90976","4866","24667","2393","19432","3178",
"0500000US04015","Mohave County, Arizona","122876","340","3122","831","11357","1795","32412","3107","26996","2192","26409","2320","14994","2208","4819","1374","1824","874","716","611","227","164",
"0500000US04017","Navajo County, Arizona","58078","164","745","456","4973","1302","12737","1964","7362","1574","10275","1354","10891","1596","5100","1049","3687","947","803","520","1505","463",
"0500000US04019","Pima County, Arizona","484385","664","13754","2150","40272","3621","85924","4956","74995","4460","83251","4701","89974","4454","38441","3305","37636","3618","10749","1836","9389","1906",
