FIPS,COASTAL_TYPE_SHORELINE,NAME_SHORELINE,COASTAL_TYPE_WATERSHED,NAME_WATERSHED
01003,shoreline,"Baldwin County, Alabama",watershed,"Baldwin County, Alabama"
01025,,,watershed,"Clarke County, Alabama"
01039,,,watershed,"Covington County, Alabama"
01053,,,watershed,"Escambia County, Alabama"
01061,,,watershed,"Geneva County, Alabama"
01097,shoreline,"Mobile County, Alabama",watershed,"Mobile County, Alabama"
01099,,,watershed,"Monroe County, Alabama"
01129,,,watershed,"Washington County, Alabama"
02013,shoreline,"Aleutians East Borough, Alaska",watershed,"Aleutians East Borough, Alaska"
02016,shoreline,"Aleutians West Census Area, Alaska",watershed,"Aleutians West Census Area, Alaska"
02020,shoreline,"Anchorage Municipality, Alaska",watershed,"Anchorage Municipality, Alaska"
02050,shoreline,"Bethel Census Area, Alaska",watershed,"Bethel Census Area, Alaska"
02060,shoreline,"Bristol Bay Borough, Alaska",watershed,"Bristol Bay Borough, Alaska"
02070,shoreline,"Dillingham Census Area, Alaska",watershed,"Dillingham Census Area, Alaska"
02100,shoreline,"Haines Borough, Alaska",watershed,"Haines Borough, Alaska"
02105,shoreline,"Hoonah-Angoon Census Area, Alaska",watershed,"Hoonah-Angoon Census Area, Alaska"
02110,shoreline,"Juneau City and Borough, Alaska",watershed,"Juneau City and Borough, Alaska"
02122,shoreline,"Kenai Peninsula Borough, Alaska",watershed,"Kenai Peninsula Borough, Alaska"
02130,shoreline,"Ketchikan Gateway Borough, Alaska",watershed,"Ketchikan Gateway Borough, Alaska"
02150,shoreline,"Kodiak Island Borough, Alaska",watershed,"Kodiak Island Borough, Alaska"
02164,shoreline,"Lake and Peninsula Borough, Alaska",watershed,"Lake and Peninsula Borough, Alaska"
02170,shoreline,"Matanuska-Susitna Borough, Alaska",watershed,"Matanuska-Susitna Borough, Alaska"
02180,shoreline,"Nome Census Area, Alaska",watershed,"Nome Census Area, Alaska"
02185,shoreline,"North Slope Borough, Alaska",watershed,"North Slope Borough, Alaska"
02188,shoreline,"Northwest Arctic Borough, Alaska",watershed,"Northwest Arctic Borough, Alaska"
02195,shoreline,"Petersburg Census Area, Alaska",watershed,"Petersburg Census Area, Alaska"
02198,shoreline,"Prince of Wales-Hyder Census Area, Alaska",watershed,"Prince of Wales-Hyder Census Area, Alaska"
02220,shoreline,"Sitka City and Borough, Alaska",watershed,"Sitka City and Borough, Alaska"
02230,shoreline,"Skagway Municipality, Alaska",watershed,"Skagway Municipality, Alaska"
02261,shoreline,"Valdez-Cordova Census Area, Alaska",watershed,"Valdez-Cordova Census Area, Alaska"
02270,shoreline,"Wade Hampton Census Area, Alaska",watershed,"Wade Hampton Census Area, Alaska"
02275,shoreline,"Wrangell City and Borough, Alaska",watershed,"Wrangell City and Borough, Alaska"
02282,shoreline,"Yakutat City and Borough, Alaska",watershed,"Yakutat City and Borough, Alaska"
06001,shoreline,"Alameda County, California",watershed,"Alameda County, California"
06013,shoreline,"Contra Costa County, California",watershed,"Contra Costa County, California"
06015,shoreline,"Del Norte County, California",watershed,"Del Norte County, California"
06023,shoreline,"Humboldt County, California",watershed,"Humboldt County, California"
06037,shoreline,"Los Angeles County, California",watershed,"Los Angeles County, California"
06041,shoreline,"Marin County, California",watershed,"Marin County, California"
06045,shoreline,"Mendocino County, California",watershed,"Mendocino County, California"
06053,shoreline,"Monterey County, California",watershed,"Monterey County, California"
06055,shoreline,"Napa County, California",watershed,"Napa County, California"
06059,shoreline,"Orange County, California",watershed,"Orange County, California"
06065,,,watershed,"Riverside County, California"
06067,,,watershed,"Sacramento County, California"
06069,,,watershed,"San Benito County, California"
06071,,,watershed,"San Bernardino County, California"
06073,shoreline,"San Diego County, California",watershed,"San Diego County, California"
06075,shoreline,"San Francisco County, California",watershed,"San Francisco County, California"
06077,,,watershed,"San Joaquin County, California"
06079,shoreline,"San Luis Obispo County, California",watershed,"San Luis Obispo County, California"
06081,shoreline,"San Mateo County, California",watershed,"San Mateo County, California"
06083,shoreline,"Santa Barbara County, California",watershed,"Santa Barbara County, California"
06085,shoreline,"Santa Clara County, California",watershed,"Santa Clara County, California"
06087,shoreline,"Santa Cruz County, California",watershed,"Santa Cruz County, California"
06093,,,watershed,"Siskiyou County, California"
06095,shoreline,"Solano County, California",watershed,"Solano County, California"
06097,shoreline,"Sonoma County, California",watershed,"Sonoma County, California"
06101,,,watershed,"Sutter County, California"
06105,,,watershed,"Trinity County, California"
06111,shoreline,"Ventura County, California",watershed,"Ventura County, California"
06113,,,watershed,"Yolo County, California"
09001,shoreline,"Fairfield County, Connecticut",watershed,"Fairfield County, Connecticut"
09003,,,watershed,"Hartford County, Connecticut"
09005,,,watershed,"Litchfield County, Connecticut"
09007,shoreline,"Middlesex County, Connecticut",watershed,"Middlesex County, Connecticut"
09009,shoreline,"New Haven County, Connecticut",watershed,"New Haven County, Connecticut"
09011,shoreline,"New London County, Connecticut",watershed,"New London County, Connecticut"
09013,,,watershed,"Tolland County, Connecticut"
09015,,,watershed,"Windham County, Connecticut"
10001,shoreline,"Kent County, Delaware",watershed,"Kent County, Delaware"
10003,shoreline,"New Castle County, Delaware",watershed,"New Castle County, Delaware"
10005,shoreline,"Sussex County, Delaware",watershed,"Sussex County, Delaware"
11001,shoreline,"District of Columbia, District Of Columbia",watershed,"District of Columbia, District Of Columbia"
12003,,,watershed,"Baker County, Florida"
12005,shoreline,"Bay County, Florida",watershed,"Bay County, Florida"
12009,shoreline,"Brevard County, Florida",watershed,"Brevard County, Florida"
12011,shoreline,"Broward County, Florida",watershed,"Broward County, Florida"
12013,,,watershed,"Calhoun County, Florida"
12015,shoreline,"Charlotte County, Florida",watershed,"Charlotte County, Florida"
12017,shoreline,"Citrus County, Florida",watershed,"Citrus County, Florida"
12019,shoreline,"Clay County, Florida",watershed,"Clay County, Florida"
12021,shoreline,"Collier County, Florida",watershed,"Collier County, Florida"
12027,,,watershed,"DeSoto County, Florida"
12029,shoreline,"Dixie County, Florida",watershed,"Dixie County, Florida"
12031,shoreline,"Duval County, Florida",watershed,"Duval County, Florida"
12033,shoreline,"Escambia County, Florida",watershed,"Escambia County, Florida"
12035,shoreline,"Flagler County, Florida",watershed,"Flagler County, Florida"
12037,shoreline,"Franklin County, Florida",watershed,"Franklin County, Florida"
12039,,,watershed,"Gadsden County, Florida"
12041,,,watershed,"Gilchrist County, Florida"
12043,,,watershed,"Glades County, Florida"
12045,shoreline,"Gulf County, Florida",watershed,"Gulf County, Florida"
12049,,,watershed,"Hardee County, Florida"
12051,,,watershed,"Hendry County, Florida"
12053,shoreline,"Hernando County, Florida",watershed,"Hernando County, Florida"
12055,,,watershed,"Highlands County, Florida"
12057,shoreline,"Hillsborough County, Florida",watershed,"Hillsborough County, Florida"
12059,,,watershed,"Holmes County, Florida"
12061,shoreline,"Indian River County, Florida",watershed,"Indian River County, Florida"
12063,,,watershed,"Jackson County, Florida"
12065,shoreline,"Jefferson County, Florida",watershed,"Jefferson County, Florida"
12067,,,watershed,"Lafayette County, Florida"
12069,,,watershed,"Lake County, Florida"
12071,shoreline,"Lee County, Florida",watershed,"Lee County, Florida"
12073,,,watershed,"Leon County, Florida"
12075,shoreline,"Levy County, Florida",watershed,"Levy County, Florida"
12077,shoreline,"Liberty County, Florida",watershed,"Liberty County, Florida"
12079,,,watershed,"Madison County, Florida"
12081,shoreline,"Manatee County, Florida",watershed,"Manatee County, Florida"
12083,,,watershed,"Marion County, Florida"
12085,shoreline,"Martin County, Florida",watershed,"Martin County, Florida"
12086,shoreline,"Miami-Dade County, Florida",watershed,"Miami-Dade County, Florida"
12087,shoreline,"Monroe County, Florida",watershed,"Monroe County, Florida"
12089,shoreline,"Nassau County, Florida",watershed,"Nassau County, Florida"
12091,shoreline,"Okaloosa County, Florida",watershed,"Okaloosa County, Florida"
12093,,,watershed,"Okeechobee County, Florida"
12095,,,watershed,"Orange County, Florida"
12097,,,watershed,"Osceola County, Florida"
12099,shoreline,"Palm Beach County, Florida",watershed,"Palm Beach County, Florida"
12101,shoreline,"Pasco County, Florida",watershed,"Pasco County, Florida"
12103,shoreline,"Pinellas County, Florida",watershed,"Pinellas County, Florida"
12105,,,watershed,"Polk County, Florida"
12107,shoreline,"Putnam County, Florida",watershed,"Putnam County, Florida"
12109,shoreline,"St. Johns County, Florida",watershed,"St. Johns County, Florida"
12111,shoreline,"St. Lucie County, Florida",watershed,"St. Lucie County, Florida"
12113,shoreline,"Santa Rosa County, Florida",watershed,"Santa Rosa County, Florida"
12115,shoreline,"Sarasota County, Florida",watershed,"Sarasota County, Florida"
12117,,,watershed,"Seminole County, Florida"
12119,,,watershed,"Sumter County, Florida"
12121,,,watershed,"Suwannee County, Florida"
12123,shoreline,"Taylor County, Florida",watershed,"Taylor County, Florida"
12127,shoreline,"Volusia County, Florida",watershed,"Volusia County, Florida"
12129,shoreline,"Wakulla County, Florida",watershed,"Wakulla County, Florida"
12131,shoreline,"Walton County, Florida",watershed,"Walton County, Florida"
12133,,,watershed,"Washington County, Florida"
13001,,,watershed,"Appling County, Georgia"
13003,,,watershed,"Atkinson County, Georgia"
13005,,,watershed,"Bacon County, Georgia"
13025,shoreline,"Brantley County, Georgia",watershed,"Brantley County, Georgia"
13029,shoreline,"Bryan County, Georgia",watershed,"Bryan County, Georgia"
13031,,,watershed,"Bulloch County, Georgia"
13039,shoreline,"Camden County, Georgia",watershed,"Camden County, Georgia"
13049,shoreline,"Charlton County, Georgia",watershed,"Charlton County, Georgia"
13051,shoreline,"Chatham County, Georgia",watershed,"Chatham County, Georgia"
13069,,,watershed,"Coffee County, Georgia"
13087,,,watershed,"Decatur County, Georgia"
13103,,,watershed,"Effingham County, Georgia"
13127,shoreline,"Glynn County, Georgia",watershed,"Glynn County, Georgia"
13131,,,watershed,"Grady County, Georgia"
13155,,,watershed,"Irwin County, Georgia"
