FIPS,COASTAL_TYPE_SHORELINE,COASTAL_TYPE_WATERSHED
1003,shoreline,watershed
1025,,watershed
1039,,watershed
1053,,watershed
1061,,watershed
1097,shoreline,watershed
1099,,watershed
1129,,watershed
2013,shoreline,watershed
2016,shoreline,watershed
2020,shoreline,watershed
2050,shoreline,watershed
2060,shoreline,watershed
2070,shoreline,watershed
2100,shoreline,watershed
2105,shoreline,watershed
2110,shoreline,watershed
2122,shoreline,watershed
2130,shoreline,watershed
2150,shoreline,watershed
2164,shoreline,watershed
2170,shoreline,watershed
2180,shoreline,watershed
2185,shoreline,watershed
2188,shoreline,watershed
2195,shoreline,watershed
2198,shoreline,watershed
2220,shoreline,watershed
2230,shoreline,watershed
2261,shoreline,watershed
2270,shoreline,watershed
2275,shoreline,watershed
2282,shoreline,watershed
6001,shoreline,watershed
6013,shoreline,watershed
6015,shoreline,watershed
6023,shoreline,watershed
6037,shoreline,watershed
6041,shoreline,watershed
6045,shoreline,watershed
6053,shoreline,watershed
6055,shoreline,watershed
6059,shoreline,watershed
6065,,watershed
6067,,watershed
6069,,watershed
6071,,watershed
6073,shoreline,watershed
6075,shoreline,watershed
6077,,watershed
6079,shoreline,watershed
6081,shoreline,watershed
6083,shoreline,watershed
6085,shoreline,watershed
6087,shoreline,watershed
6093,,watershed
6095,shoreline,watershed
6097,shoreline,watershed
6101,,watershed
6105,,watershed
6111,shoreline,watershed
6113,,watershed
9001,shoreline,watershed
9003,,watershed
9005,,watershed
9007,shoreline,watershed
9009,shoreline,watershed
9011,shoreline,watershed
9013,,watershed
9015,,watershed
10001,shoreline,watershed
10003,shoreline,watershed
10005,shoreline,watershed
11001,shoreline,watershed
12003,,watershed
12005,shoreline,watershed
12009,shoreline,watershed
12011,shoreline,watershed
12013,,watershed
12015,shoreline,watershed
12017,shoreline,watershed
12019,shoreline,watershed
12021,shoreline,watershed
12027,,watershed
12029,shoreline,watershed
12031,shoreline,watershed
12033,shoreline,watershed
12035,shoreline,watershed
12037,shoreline,watershed
12039,,watershed
12041,,watershed
12043,,watershed
12045,shoreline,watershed
12049,,watershed
12051,,watershed
12053,shoreline,watershed
12055,,watershed
12057,shoreline,watershed
12059,,watershed
12061,shoreline,watershed
12063,,watershed
12065,shoreline,watershed
12067,,watershed
12069,,watershed
12071,shoreline,watershed
12073,,watershed
12075,shoreline,watershed
12077,shoreline,watershed
12079,,watershed
12081,shoreline,watershed
12083,,watershed
12085,shoreline,watershed
12086,shoreline,watershed
12087,shoreline,watershed
12089,shoreline,watershed
12091,shoreline,watershed
12093,,watershed
12095,,watershed
12097,,watershed
12099,shoreline,watershed
12101,shoreline,watershed
12103,shoreline,watershed
12105,,watershed
12107,shoreline,watershed
12109,shoreline,watershed
12111,shoreline,watershed
12113,shoreline,watershed
12115,shoreline,watershed
12117,,watershed
12119,,watershed
12121,,watershed
12123,shoreline,watershed
12127,shoreline,watershed
12129,shoreline,watershed
12131,shoreline,watershed
12133,,watershed
13001,,watershed
13003,,watershed
13005,,watershed
13025,shoreline,watershed
13029,shoreline,watershed
13031,,watershed
13039,shoreline,watershed
13049,shoreline,watershed
13051,shoreline,watershed
13069,,watershed
13087,,watershed
13103,,watershed
13127,shoreline,watershed
13131,,watershed
13155,,watershed
13161,,watershed
13165,,watershed
13179,shoreline,watershed
13183,,watershed
13191,shoreline,watershed
13209,,watershed
13229,,watershed
13251,,watershed
13267,,watershed
13275,,watershed
13279,,watershed
13299,,watershed
13305,shoreline,watershed
15001,shoreline,watershed
15003,shoreline,watershed
15005,shoreline,watershed
15007,shoreline,watershed
15009,shoreline,watershed
17031,shoreline,watershed
17097,shoreline,watershed
18039,,watershed
18085,,watershed
18087,,watershed
18089,shoreline,watershed
18091,shoreline,watershed
18113,,watershed
18127,shoreline,watershed
18141,,watershed
18151,,watershed
22001,,watershed
22003,,watershed
22005,shoreline,watershed
22007,shoreline,watershed
22009,,watershed
22011,,watershed
22019,shoreline,watershed
22023,shoreline,watershed
22033,,watershed
22037,,watershed
22039,,watershed
22045,shoreline,watershed
22047,,watershed
22051,shoreline,watershed
22053,shoreline,watershed
22055,,watershed
22057,shoreline,watershed
22063,shoreline,watershed
22071,shoreline,watershed
22075,shoreline,watershed
22077,,watershed
22079,,watershed
22085,,watershed
22087,shoreline,watershed
22089,shoreline,watershed
22091,,watershed
22093,shoreline,watershed
22095,shoreline,watershed
22097,,watershed
22099,shoreline,watershed
22101,shoreline,watershed
22103,shoreline,watershed
22105,shoreline,watershed
22109,shoreline,watershed
22113,shoreline,watershed
22115,,watershed
22117,,watershed
22121,,watershed
22125,,watershed
23001,,watershed
23005,shoreline,watershed
23007,,watershed
23009,shoreline,watershed
23011,,watershed
23013,shoreline,watershed
23015,shoreline,watershed
23017,,watershed
23019,,watershed
23023,shoreline,watershed
23025,,watershed
23027,shoreline,watershed
23029,shoreline,watershed
23031,shoreline,watershed
24003,shoreline,watershed
24005,shoreline,watershed
24009,shoreline,watershed
24011,shoreline,watershed
24013,,watershed
24015,shoreline,watershed
24017,shoreline,watershed
24019,shoreline,watershed
24025,shoreline,watershed
24027,shoreline,watershed
24029,shoreline,watershed
24031,,watershed
24033,shoreline,watershed
24035,shoreline,watershed
24037,shoreline,watershed
24039,shoreline,watershed
24041,shoreline,watershed
24045,shoreline,watershed
24047,shoreline,watershed
24510,shoreline,watershed
25001,shoreline,watershed
25003,,watershed
25005,shoreline,watershed
25007,shoreline,watershed
25009,shoreline,watershed
25013,,watershed
25017,shoreline,watershed
25019,shoreline,watershed
25021,shoreline,watershed
25023,shoreline,watershed
25025,shoreline,watershed
25027,,watershed
26001,shoreline,watershed
26003,shoreline,watershed
26005,shoreline,watershed
26007,shoreline,watershed
26009,shoreline,watershed
26011,shoreline,watershed
26013,shoreline,watershed
26015,,watershed
26017,shoreline,watershed
26019,shoreline,watershed
26021,shoreline,watershed
26023,,watershed
26025,,watershed
26027,,watershed
26029,shoreline,watershed
26031,shoreline,watershed
26033,shoreline,watershed
26035,,watershed
26039,,watershed
26041,shoreline,watershed
26043,,watershed
26045,,watershed
26047,shoreline,watershed
26053,shoreline,watershed
26055,shoreline,watershed
26059,,watershed
26061,shoreline,watershed
26063,shoreline,watershed
26067,,watershed
26069,shoreline,watershed
26075,,watershed
26077,,watershed
26079,,watershed
26081,,watershed
26083,shoreline,watershed
26085,,watershed
26087,,watershed
26089,shoreline,watershed
26091,,watershed
26093,,watershed
26095,shoreline,watershed
26097,shoreline,watershed
26099,shoreline,watershed
26101,shoreline,watershed
26103,shoreline,watershed
26105,shoreline,watershed
26107,,watershed
26109,shoreline,watershed
26113,,watershed
26115,shoreline,watershed
26117,,watershed
26119,,watershed
26121,shoreline,watershed
26123,,watershed
26125,,watershed
26127,shoreline,watershed
26129,,watershed
26131,shoreline,watershed
26133,,watershed
26135,,watershed
26137,,watershed
26139,shoreline,watershed
26141,shoreline,watershed
26143,,watershed
26145,,watershed
26147,shoreline,watershed
26149,,watershed
26151,shoreline,watershed
26153,shoreline,watershed
26157,shoreline,watershed
26159,shoreline,watershed
26161,,watershed
26163,shoreline,watershed
26165,,watershed
27017,,watershed
27031,shoreline,watershed
27075,shoreline,watershed
27137,shoreline,watershed
28005,,watershed
28039,,watershed
28045,shoreline,watershed
28047,shoreline,watershed
28059,shoreline,watershed
28073,,watershed
28091,,watershed
28109,,watershed
28113,,watershed
28131,,watershed
28147,,watershed
28157,,watershed
33001,,watershed
33003,,watershed
33011,,watershed
33013,,watershed
33015,shoreline,watershed
33017,shoreline,watershed
34001,shoreline,watershed
34003,shoreline,watershed
34005,shoreline,watershed
34007,shoreline,watershed
34009,shoreline,watershed
34011,shoreline,watershed
34013,shoreline,watershed
34015,shoreline,watershed
34017,shoreline,watershed
34019,,watershed
34021,,watershed
34023,shoreline,watershed
34025,shoreline,watershed
34027,,watershed
34029,shoreline,watershed
34031,,watershed
34033,shoreline,watershed
34035,shoreline,watershed
34037,,watershed
34039,shoreline,watershed
36001,,watershed
36005,shoreline,watershed
36009,,watershed
36011,shoreline,watershed
36013,shoreline,watershed
