NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Autauga County, Alabama",24731,388,3320,5374,4667,2665,4388,2036,929,348,1993,01,001
"Baldwin County, Alabama",128518,3762,20664,33844,27275,18434,11094,6516,2796,1577,1998,01,003
"Barbour County, Alabama",11702,137,507,1144,2365,2203,1770,1349,971,417,1982,01,005
"Bibb County, Alabama",9090,81,675,1707,1566,1337,1428,711,557,410,1986,01,007
"Blount County, Alabama",24793,144,2037,4592,5287,3265,3724,2178,1505,988,1989,01,009
"Bullock County, Alabama",4554,54,160,698,1235,631,815,358,345,38,1988,01,011
"Butler County, Alabama",9841,62,488,748,1704,1834,1861,1316,725,452,1980,01,013
"Calhoun County, Alabama",53271,288,3162,6627,7321,8196,9538,5963,6024,3003,1979,01,015
"Chambers County, Alabama",16427,97,1149,2124,2058,2436,2590,1544,1479,1046,1979,01,017
"Cherokee County, Alabama",14663,178,1191,2518,2847,2216,1885,1771,1005,460,1987,01,019
"Chilton County, Alabama",19702,156,2037,3647,3264,2339,3637,2081,1118,639,1987,01,021
"Choctaw County, Alabama",7164,84,445,864,1401,1061,1412,926,576,175,1983,01,023
"Clarke County, Alabama",11727,51,567,1317,2186,2185,2159,1704,729,368,1982,01,025
"Clay County, Alabama",7072,44,491,1029,1244,1040,808,833,649,232,1983,01,027
"Cleburne County, Alabama",6853,41,410,1028,1522,1016,885,843,477,321,1986,01,029
"Coffee County, Alabama",24399,296,3061,4134,3614,2997,4202,2742,1737,735,1986,01,031
"Colbert County, Alabama",27887,232,3262,3805,3436,3102,4375,3481,3003,1362,1980,01,033
"Conecuh County, Alabama",6444,29,180,600,1861,1171,986,619,473,212,1985,01,035
"Coosa County, Alabama",6042,109,365,828,1358,804,731,770,261,203,1986,01,037
"Covington County, Alabama",18676,130,983,1882,3986,2515,3216,2141,1748,979,1981,01,039
