NAME,MedianIncome,state,county
"Autauga County, Alabama",69841,01,001
"Baldwin County, Alabama",75019,01,003
"Barbour County, Alabama",44290,01,005
"Bibb County, Alabama",51215,01,007
"Blount County, Alabama",61096,01,009
"Bullock County, Alabama",36723,01,011
"Butler County, Alabama",44881,01,013
"Calhoun County, Alabama",55826,01,015
"Chambers County, Alabama",49295,01,017
"Cherokee County, Alabama",50769,01,019
"Chilton County, Alabama",61873,01,021
"Choctaw County, Alabama",44483,01,023
"Clarke County, Alabama",49167,01,025
"Clay County, Alabama",51852,01,027
"Cleburne County, Alabama",53319,01,029
"Coffee County, Alabama",64672,01,031
"Colbert County, Alabama",56736,01,033
"Conecuh County, Alabama",42266,01,035
"Coosa County, Alabama",57063,01,037
"Covington County, Alabama",50886,01,039
"Crenshaw County, Alabama",49040,01,041
"Cullman County, Alabama",60916,01,043
"Dale County, Alabama",53955,01,045
"Dallas County, Alabama",36810,01,047
"DeKalb County, Alabama",51149,01,049
"Elmore County, Alabama",75553,01,051
"Escambia County, Alabama",44447,01,053
"Etowah County, Alabama",53070,01,055
"Fayette County, Alabama",50733,01,057
"Franklin County, Alabama",51493,01,059
"Geneva County, Alabama",50951,01,061
"Greene County, Alabama",31495,01,063
"Hale County, Alabama",41325,01,065
"Henry County, Alabama",60135,01,067
"Houston County, Alabama",57531,01,069
"Jackson County, Alabama",49454,01,071
"Jefferson County, Alabama",64589,01,073
"Lamar County, Alabama",47447,01,075
"Lauderdale County, Alabama",59082,01,077
"Lawrence County, Alabama",60040,01,079
"Lee County, Alabama",61123,01,081
"Limestone County, Alabama",83534,01,083
"Lowndes County, Alabama",35160,01,085
"Macon County, Alabama",45951,01,087
"Madison County, Alabama",83528,01,089
"Marengo County, Alabama",44205,01,091
"Marion County, Alabama",50714,01,093
"Marshall County, Alabama",60946,01,095
"Mobile County, Alabama",58119,01,097
"Monroe County, Alabama",40225,01,099
"Montgomery County, Alabama",58153,01,101
"Morgan County, Alabama",64858,01,103
"Perry County, Alabama",34368,01,105
"Pickens County, Alabama",47014,01,107
"Pike County, Alabama",47961,01,109
"Randolph County, Alabama",51551,01,111
"Russell County, Alabama",50046,01,113
"St. Clair County, Alabama",78993,01,115
"Shelby County, Alabama",93543,01,117
"Sumter County, Alabama",37981,01,119
"Talladega County, Alabama",56249,01,121
"Tallapoosa County, Alabama",57185,01,123
"Tuscaloosa County, Alabama",63947,01,125
"Walker County, Alabama",54509,01,127
"Washington County, Alabama",60503,01,129
"Wilcox County, Alabama",42236,01,131
"Winston County, Alabama",48032,01,133
"Aleutians East Borough, Alaska",72692,02,013
"Aleutians West Census Area, Alaska",107344,02,016
"Anchorage Municipality, Alaska",98152,02,020
"Bethel Census Area, Alaska",70616,02,050
"Bristol Bay Borough, Alaska",100625,02,060
"Chugach Census Area, Alaska",88565,02,063
"Copper River Census Area, Alaska",75053,02,066
"Denali Borough, Alaska",88935,02,068
"Dillingham Census Area, Alaska",74250,02,070
"Fairbanks North Star Borough, Alaska",84722,02,090
"Haines Borough, Alaska",72607,02,100
"Hoonah-Angoon Census Area, Alaska",62500,02,105
"Juneau City and Borough, Alaska",100513,02,110
"Kenai Peninsula Borough, Alaska",77722,02,122
"Ketchikan Gateway Borough, Alaska",89155,02,130
"Kodiak Island Borough, Alaska",83716,02,150
"Kusilvak Census Area, Alaska",48233,02,158
"Lake and Peninsula Borough, Alaska",64000,02,164
"Matanuska-Susitna Borough, Alaska",90625,02,170
"Nome Census Area, Alaska",76643,02,180
"North Slope Borough, Alaska",86313,02,185
"Northwest Arctic Borough, Alaska",81298,02,188
"Petersburg Borough, Alaska",77026,02,195
"Prince of Wales-Hyder Census Area, Alaska",59079,02,198
"Sitka City and Borough, Alaska",101207,02,220
"Skagway Municipality, Alaska",78594,02,230
"Southeast Fairbanks Census Area, Alaska",74223,02,240
"Wrangell City and Borough, Alaska",64545,02,275
"Yakutat City and Borough, Alaska",80625,02,282
"Yukon-Koyukuk Census Area, Alaska",52642,02,290
"Apache County, Arizona",40338,04,001
"Cochise County, Arizona",58970,04,003
"Coconino County, Arizona",69748,04,005
"Gila County, Arizona",59089,04,007
"Graham County, Arizona",67326,04,009
"Greenlee County, Arizona",75239,04,011
"La Paz County, Arizona",49506,04,012
"Maricopa County, Arizona",85518,04,013
"Mohave County, Arizona",55799,04,015
"Navajo County, Arizona",52752,04,017
"Pima County, Arizona",67929,04,019
"Pinal County, Arizona",77588,04,021
"Santa Cruz County, Arizona",53614,04,023
"Yavapai County, Arizona",66106,04,025
"Yuma County, Arizona",60417,04,027
"Arkansas County, Arkansas",60831,05,001
"Ashley County, Arkansas",44481,05,003
"Baxter County, Arkansas",48427,05,005
"Benton County, Arkansas",89879,05,007
"Boone County, Arkansas",54195,05,009
"Bradley County, Arkansas",39565,05,011
"Calhoun County, Arkansas",63654,05,013
"Carroll County, Arkansas",55187,05,015
"Chicot County, Arkansas",39683,05,017
"Clark County, Arkansas",50985,05,019
"Clay County, Arkansas",48500,05,021
"Cleburne County, Arkansas",55979,05,023
"Cleveland County, Arkansas",50509,05,025
"Columbia County, Arkansas",47363,05,027
"Conway County, Arkansas",51212,05,029
"Craighead County, Arkansas",57615,05,031
