PartialFIPS,TEMPERATURE,Anomaly (1901-2000 base period),MONTH
AL-001,52.3,6.0,1
AL-003,57.2,6.2,1
AL-005,52.3,4.5,1
AL-007,50.5,6.2,1
AL-009,48.8,7.2,1
AL-011,52.1,5.3,1
AL-013,54.2,6.7,1
AL-015,49.8,7.5,1
AL-017,49.2,5.5,1
AL-019,49.0,7.6,1
AL-021,51.4,6.7,1
AL-023,53.3,6.2,1
AL-025,53.9,6.0,1
AL-027,49.1,6.3,1
AL-029,49.4,7.9,1
AL-031,54.2,5.5,1
AL-033,47.9,8.0,1
AL-035,54.6,5.9,1
AL-037,50.4,5.9,1
AL-039,54.9,6.0,1
AL-041,53.7,6.3,1
AL-043,49.0,7.9,1
AL-045,53.9,4.8,1
AL-047,52.6,5.8,1
AL-049,47.3,7.3,1
AL-051,51.6,5.5,1
AL-053,55.2,5.5,1
AL-055,49.3,7.4,1
AL-057,49.2,6.4,1
AL-059,47.7,7.5,1
AL-061,54.6,4.9,1
AL-063,51.5,6.3,1
AL-065,51.0,5.7,1
AL-067,53.4,4.3,1
AL-069,54.8,4.6,1
AL-071,47.6,7.7,1
AL-073,49.6,6.5,1
AL-075,49.6,6.8,1
AL-077,47.4,8.0,1
AL-079,47.6,7.2,1
AL-081,50.7,5.1,1
AL-083,47.1,7.2,1
AL-085,53.3,6.1,1
AL-087,51.7,5.2,1
AL-089,47.6,7.4,1
AL-091,52.4,5.8,1
AL-093,48.4,7.1,1
AL-095,48.7,7.7,1
AL-097,57.0,6.5,1
AL-099,54.3,5.9,1
AL-101,52.5,5.4,1
AL-103,48.3,7.7,1
AL-105,51.2,5.6,1
AL-107,50.8,6.7,1
AL-109,53.4,5.7,1
AL-111,49.4,7.1,1
AL-113,51.9,4.9,1
AL-115,49.2,6.7,1
AL-117,50.3,6.6,1
AL-119,52.1,6.3,1
AL-121,49.8,6.2,1
AL-123,49.5,5.1,1
AL-125,50.1,5.9,1
AL-127,48.9,6.3,1
AL-129,54.7,6.1,1
AL-131,53.4,5.9,1
AL-133,48.0,7.1,1
AZ-001,30.7,1.0,1
AZ-003,42.8,-0.7,1
AZ-005,31.4,-0.5,1
AZ-007,39.7,-1.2,1
AZ-009,41.4,-1.2,1
AZ-011,37.0,-1.4,1
AZ-012,51.7,0.5,1
AZ-013,50.0,-0.8,1
AZ-015,41.2,-1.1,1
AZ-017,31.2,0.8,1
AZ-019,49.0,-0.6,1
AZ-021,48.8,-0.7,1
AZ-023,44.1,-0.2,1
AZ-025,40.0,-0.9,1
AZ-027,53.9,1.1,1
AR-001,49.9,8.7,1
AR-003,51.4,7.8,1
AR-005,42.1,7.2,1
AR-007,41.4,6.4,1
AR-009,41.4,6.7,1
AR-011,50.5,7.7,1
AR-013,49.8,7.0,1
AR-015,41.1,6.2,1
AR-017,51.4,7.6,1
AR-019,47.8,6.2,1
AR-021,44.1,8.2,1
AR-023,45.2,7.7,1
AR-025,49.2,7.2,1
AR-027,50.2,6.4,1
AR-029,45.9,7.3,1
AR-031,45.3,8.3,1
AR-033,43.0,5.5,1
AR-035,47.7,8.3,1
AR-037,46.4,7.6,1
AR-039,48.3,6.3,1
AR-041,50.1,7.8,1
AR-043,50.5,7.8,1
AR-045,45.5,6.3,1
AR-047,43.6,6.1,1
AR-049,42.0,7.8,1
AR-051,46.7,6.6,1
AR-053,48.5,6.9,1
AR-055,44.8,8.5,1
AR-057,49.3,7.0,1
AR-059,47.7,6.5,1
AR-061,47.4,6.4,1
AR-063,44.6,7.8,1
AR-065,42.8,7.4,1
AR-067,45.2,7.8,1
AR-069,49.3,7.8,1
AR-071,43.6,6.7,1
AR-073,51.5,7.8,1
AR-075,44.1,7.9,1
AR-077,48.7,8.5,1
AR-079,50.0,8.0,1
AR-081,50.3,7.8,1
AR-083,45.1,6.6,1
AR-085,48.0,7.5,1
AR-087,41.1,6.1,1
AR-089,41.9,7.1,1
AR-091,52.2,8.4,1
AR-093,45.9,8.0,1
AR-095,49.2,8.8,1
AR-097,45.9,6.3,1
AR-099,49.1,6.6,1
AR-101,41.2,6.4,1
AR-103,49.6,6.5,1
AR-105,46.1,6.6,1
AR-107,49.8,9.0,1
AR-109,47.0,6.2,1
AR-111,45.7,7.9,1
AR-113,45.3,6.4,1
AR-115,44.3,6.9,1
AR-117,48.8,8.5,1
AR-119,47.4,7.0,1
AR-121,43.4,8.0,1
AR-123,47.8,8.2,1
AR-125,47.4,6.9,1
AR-127,45.3,6.6,1
AR-129,42.0,6.7,1
AR-131,45.1,6.4,1
